timeUTC,latitude,longitude,desc,speed,course,date
63357,-7.2761005,112.794301,time: 13:33:57.17; speed: 7.7784; course: 265.8,7.78,265.8,211222
63358,-7.276101067,112.79428,time: 13:33:58.18; speed: 8.334; course: 266.3,8.33,266.3,211222
63359,-7.276101283,112.7942583,time: 13:33:59.17; speed: 8.5192; course: 268.4,8.52,268.4,211222
63400,-7.276100883,112.7942358,time: 13:34:00.17; speed: 8.704400000000001; course: 270.1,8.7,270.1,211222
63401,-7.276100083,112.7942128,time: 13:34:01.17; speed: 8.8896; course: 271.5,8.89,271.5,211222
63402,-7.27609795,112.7941909,time: 13:34:02.19; speed: 7.9636000000000005; course: 277.6,7.96,277.6,211222
63403,-7.276096767,112.794172,time: 13:34:03.17; speed: 6.482; course: 271.5,6.48,271.5,211222
63404,-7.276096133,112.7941521,time: 13:34:04.16; speed: 8.148800000000001; course: 274.2,8.15,274.2,211222
63405,-7.27609585,112.7941295,time: 13:34:05.16; speed: 8.148800000000001; course: 269.8,8.15,269.8,211222
63406,-7.2760955,112.7941071,time: 13:34:06.16; speed: 8.5192; course: 273.8,8.52,273.8,211222
63407,-7.2760936,112.7940841,time: 13:34:07.18; speed: 8.8896; course: 275.3,8.89,275.3,211222
63408,-7.276091683,112.7940615,time: 13:34:08.16; speed: 8.5192; course: 274.5,8.52,274.5,211222
63409,-7.276090617,112.7940412,time: 13:34:09.16; speed: 7.5931999999999995; course: 271.8,7.59,271.8,211222
63410,-7.276090233,112.7940238,time: 13:34:10.17; speed: 5.556; course: 270.3,5.56,270.3,211222
63411,-7.2760895,112.7940109,time: 13:34:11.17; speed: 4.2596; course: 271.5,4.26,271.5,211222
63412,-7.276088483,112.7940011,time: 13:34:12.17; speed: 3.3336; course: 273.1,3.33,273.1,211222
63413,-7.276087833,112.7939912,time: 13:34:13.16; speed: 3.704; course: 269.7,3.7,269.7,211222
63414,-7.2760878,112.7939808,time: 13:34:14.16; speed: 3.704; course: 271.7,3.7,271.7,211222
63415,-7.276087467,112.7939705,time: 13:34:15.17; speed: 3.704; course: 276.8,3.7,276.8,211222
63416,-7.276088133,112.7939596,time: 13:34:16.17; speed: 4.63; course: 267.7,4.63,267.7,211222
63417,-7.276088883,112.7939501,time: 13:34:17.17; speed: 3.3336; course: 276.6,3.33,276.6,211222
63418,-7.276089867,112.7939406,time: 13:34:18.17; speed: 4.074400000000001; course: 273.4,4.07,273.4,211222
63419,-7.2760906,112.7939292,time: 13:34:19.17; speed: 5.000400000000001; course: 272.2,5,272.2,211222
63420,-7.276091133,112.7939172,time: 13:34:20.17; speed: 5.000400000000001; course: 272.0,5,272,211222
63421,-7.276091517,112.793905,time: 13:34:21.17; speed: 5.000400000000001; course: 272.0,5,272,211222
63422,-7.276091183,112.7938888,time: 13:34:22.16; speed: 7.408; course: 270.1,7.41,270.1,211222
63423,-7.276090667,112.7938696,time: 13:34:23.18; speed: 7.9636000000000005; course: 269.8,7.96,269.8,211222
63424,-7.276090383,112.7938496,time: 13:34:24.17; speed: 8.148800000000001; course: 269.3,8.15,269.3,211222
63425,-7.276090233,112.7938282,time: 13:34:25.17; speed: 9.074800000000002; course: 269.6,9.07,269.6,211222
63426,-7.276089733,112.7938057,time: 13:34:26.18; speed: 8.8896; course: 271.7,8.89,271.7,211222
63427,-7.2760881,112.7937837,time: 13:34:27.17; speed: 8.8896; course: 273.5,8.89,273.5,211222
63428,-7.2760858,112.7937611,time: 13:34:28.17; speed: 9.4452; course: 275.2,9.45,275.2,211222
63429,-7.276083633,112.7937367,time: 13:34:29.18; speed: 9.8156; course: 275.1,9.82,275.1,211222
63430,-7.276082583,112.7937127,time: 13:34:30.17; speed: 9.630400000000002; course: 272.1,9.63,272.1,211222
63431,-7.2760814,112.7936867,time: 13:34:31.17; speed: 10.5564; course: 270.3,10.56,270.3,211222
63432,-7.27608185,112.7936602,time: 13:34:32.17; speed: 10.186; course: 268.9,10.19,268.9,211222
63433,-7.276080783,112.7936352,time: 13:34:33.18; speed: 9.630400000000002; course: 272.0,9.63,272,211222
63434,-7.276079283,112.7936114,time: 13:34:34.18; speed: 9.4452; course: 272.2,9.45,272.2,211222
63435,-7.276078083,112.7935885,time: 13:34:35.17; speed: 9.074800000000002; course: 272.6,9.07,272.6,211222
63436,-7.27607745,112.7935671,time: 13:34:36.17; speed: 8.334; course: 271.6,8.33,271.6,211222
63437,-7.276076833,112.7935467,time: 13:34:37.16; speed: 8.148800000000001; course: 271.5,8.15,271.5,211222
63438,-7.27607535,112.793527,time: 13:34:38.18; speed: 7.5931999999999995; course: 272.7,7.59,272.7,211222
63439,-7.27607425,112.7935107,time: 13:34:39.17; speed: 6.1116; course: 269.7,6.11,269.7,211222
63440,-7.276073583,112.7934988,time: 13:34:40.17; speed: 4.4448; course: 271.7,4.44,271.7,211222
63441,-7.276073783,112.7934886,time: 13:34:41.17; speed: 4.4448; course: 264.6,4.44,264.6,211222
63442,-7.27607395,112.793479,time: 13:34:42.17; speed: 3.8892; course: 264.9,3.89,264.9,211222
63443,-7.27607445,112.7934688,time: 13:34:43.18; speed: 4.4448; course: 264.8,4.44,264.8,211222
63444,-7.276075017,112.7934577,time: 13:34:44.17; speed: 4.4448; course: 264.8,4.44,264.8,211222
63445,-7.276076567,112.7934458,time: 13:34:45.17; speed: 4.815200000000001; course: 264.7,4.82,264.7,211222
63446,-7.27607635,112.7934345,time: 13:34:46.17; speed: 4.4448; course: 264.8,4.44,264.8,211222
63447,-7.276075967,112.7934242,time: 13:34:47.17; speed: 4.2596; course: 264.8,4.26,264.8,211222
63448,-7.27607555,112.7934121,time: 13:34:48.16; speed: 5.556; course: 264.4,5.56,264.4,211222
63449,-7.276074233,112.7933976,time: 13:34:49.17; speed: 6.2968; course: 264.5,6.3,264.5,211222
63450,-7.276072833,112.7933803,time: 13:34:50.17; speed: 7.408; course: 266.4,7.41,266.4,211222
63451,-7.2760695,112.7933601,time: 13:34:51.17; speed: 8.704400000000001; course: 268.2,8.7,268.2,211222
63452,-7.2760643,112.7933366,time: 13:34:52.17; speed: 9.8156; course: 267.3,9.82,267.3,211222
63453,-7.27606065,112.7933103,time: 13:34:53.17; speed: 10.7416; course: 267.8,10.74,267.8,211222
63454,-7.276057317,112.793284,time: 13:34:54.18; speed: 10.186; course: 270.0,10.19,270,211222
63455,-7.2760535,112.7932578,time: 13:34:55.17; speed: 10.3712; course: 271.3,10.37,271.3,211222
63456,-7.27604985,112.7932321,time: 13:34:56.17; speed: 9.8156; course: 272.0,9.82,272,211222
63457,-7.2760469,112.7932079,time: 13:34:57.17; speed: 9.26; course: 271.3,9.26,271.3,211222
63458,-7.276045667,112.7931858,time: 13:34:58.17; speed: 8.148800000000001; course: 271.8,8.15,271.8,211222
63459,-7.276044533,112.7931672,time: 13:34:59.17; speed: 6.482; course: 275.5,6.48,275.5,211222
63500,-7.276042917,112.7931521,time: 13:35:00.17; speed: 5.3708; course: 280.0,5.37,280,211222
63501,-7.276040117,112.7931382,time: 13:35:01.17; speed: 5.556; course: 287.6,5.56,287.6,211222
63502,-7.27603575,112.7931262,time: 13:35:02.17; speed: 4.63; course: 295.4,4.63,295.4,211222
63503,-7.276029867,112.7931156,time: 13:35:03.16; speed: 5.556; course: 302.0,5.56,302,211222
63504,-7.276022683,112.793105,time: 13:35:04.17; speed: 5.7412; course: 308.1,5.74,308.1,211222
63505,-7.27601335,112.7930957,time: 13:35:05.18; speed: 5.556; course: 315.6,5.56,315.6,211222
63506,-7.276004867,112.7930901,time: 13:35:06.17; speed: 3.5188; course: 321.9,3.52,321.9,211222
63507,-7.275996067,112.7930852,time: 13:35:07.17; speed: 5.000400000000001; course: 321.6,5,321.6,211222
63508,-7.275984417,112.7930808,time: 13:35:08.17; speed: 5.556; course: 321.6,5.56,321.6,211222
63509,-7.27597095,112.7930775,time: 13:35:09.21; speed: 5.556; course: 321.6,5.56,321.6,211222
63510,-7.275956417,112.7930759,time: 13:35:10.19; speed: 6.1116; course: 351.2,6.11,351.2,211222
63511,-7.27594515,112.7930762,time: 13:35:11.17; speed: 3.704; course: 321.6,3.7,321.6,211222
63512,-7.275937617,112.7930769,time: 13:35:12.18; speed: 3.5188; course: 321.5,3.52,321.5,211222
63513,-7.275928317,112.7930763,time: 13:35:13.18; speed: 3.5188; course: 321.5,3.52,321.5,211222
63514,-7.27591845,112.7930742,time: 13:35:14.16; speed: 4.4448; course: 349.3,4.44,349.3,211222
63515,-7.275905383,112.7930735,time: 13:35:15.18; speed: 5.556; course: 357.5,5.56,357.5,211222
63516,-7.275889883,112.793072,time: 13:35:16.16; speed: 6.482; course: 352.6,6.48,352.6,211222
63517,-7.275875983,112.7930705,time: 13:35:17.17; speed: 5.3708; course: 352.5,5.37,352.5,211222
63518,-7.275862733,112.7930664,time: 13:35:18.17; speed: 5.556; course: 352.1,5.56,352.1,211222
63519,-7.275851683,112.7930593,time: 13:35:19.17; speed: 4.63; course: 351.8,4.63,351.8,211222
