type,date,time,latitude,longitude,accuracy(m),altitude(m), geoid_height(m), speed(m/s), bearing(deg), sat_used, sat_inview, name, desc
T, 45063,3131944444, -727613304, 11280184038, 2.50, 36000, , 8630, 342, 27, 32, , 
T, 45063,3131944444, -727604985, 11280180526, 2.00, 36000, , 8700, 342, 29, 34, , 
T, 45063,3131944444, -727597048, 11280176385, 2.50, 37000, , 8450, 330, 29, 34, , 
T, 45063,3131944444, -727590958, 11280171205, 2.50, 36000, , 7250, 317, 28, 34, , 
T, 45063,3131944444, -727586239, 11280165296, 2.00, 37000, , 7760, 309, 29, 34, , 
T, 45063,3131944444, -727581080, 11280158750, 2.00, 36000, , 9580, 304, 29, 34, , 
T, 45063,3131944444, -727575971, 11280151030, 2.00, 36000, , 10360, 304, 29, 34, , 
T, 45063,3131944444, -727570406, 11280143310, 2.00, 36000, , 10420, 306, 29, 34, , 
T, 45063,3131944444, -727564802, 11280135373, 1.50, 35000, , 10840, 305, 29, 34, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 11420, 307, 29, 34, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 11480, 310, 29, 34, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 11370, 311, 29, 34, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 11220, 318, 29, 34, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 11100, 332, 29, 33, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 10600, 341, 28, 32, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 9820, 349, 29, 33, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 10060, 352, 29, 33, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 10030, 354, 27, 32, , 
T, 45063,3131944444, 0, 0, 1.50, 0, , 9270, 355, 28, 33, , 
T, 45063,3131944444, -727475640, 11280088895, 1.50, 36000, , 8740, 355, 29, 33, , 
T, 45063,3131944444, -727468293, 11280087839, 1.50, 35000, , 7610, 355, 28, 32, , 
T, 45063,3131944444, -727462091, 11280086691, 1.50, 35000, , 7330, 343, 28, 32, , 
T, 45063,3131944444, -727456190, 11280083841, 2.00, 35000, , 7550, 331, 28, 33, , 
T, 45063,3131944444, -727450218, 11280079549, 2.00, 34000, , 7700, 319, 29, 33, , 
T, 45063,3131944444, -727445637, 11280074009, 2.00, 34000, , 7680, 306, 29, 31, , 
T, 45063,3131944444, -727442330, 11280067815, 1.50, 34000, , 7860, 293, 29, 33, , 
T, 45063,3131944444, -727440327, 11280060975, 2.00, 34000, , 8410, 284, 29, 33, , 
T, 45063,3131944444, -727440067, 11280053691, 2.00, 35000, , 8460, 267, 29, 33, , 
T, 45063,3131944444, -727440516, 11280046583, 2.00, 35000, , 8800, 263, 28, 32, , 
T, 45063,3131944444, -727441366, 11280038914, 2.00, 35000, , 9000, 263, 28, 33, , 
T, 45063,3131944444, -727441827, 11280030280, 2.00, 35000, , 10250, 267, 29, 34, , 
T, 45063,3131944444, -727442531, 11280020423, 1.50, 35000, , 11220, 267, 29, 34, , 
T, 45063,3131944444, -727442971, 11280009988, 1.50, 35000, , 11290, 267, 29, 34, , 
T, 45063,3131944444, -727443328, 11279999779, 1.50, 35000, , 10820, 269, 28, 33, , 
T, 45063,3131944444, -727442980, 11279990659, 2.00, 35000, , 10220, 272, 28, 34, , 
T, 45063,3131944444, -727442540, 11279981355, 1.50, 35000, , 10250, 273, 29, 34, , 
T, 45063,3131944444, -727441408, 11279971548, 2.00, 35000, , 10800, 276, 29, 34, , 
T, 45063,3131944444, -727440838, 11279961742, 2.00, 35000, , 10580, 270, 29, 34, , 
T, 45063,3131944444, -727440960, 11279952538, 2.00, 35000, , 10200, 269, 28, 33, , 
T, 45063,3131944444, -727440947, 11279943377, 2.00, 35000, , 9350, 268, 29, 34, , 
T, 45063,3131944444, -727441387, 11279934601, 2.00, 35000, , 9420, 266, 29, 34, , 
T, 45063,3131944444, -727442116, 11279925833, 2.00, 35000, , 9710, 262, 29, 34, , 
T, 45063,3131944444, -727443713, 11279916412, 2.00, 35000, , 11190, 260, 29, 34, , 
T, 45063,3131944444, -727444832, 11279906111, 2.00, 35000, , 11890, 265, 29, 34, , 
T, 45063,3131944444, -727445390, 11279895650, 1.50, 35000, , 11660, 268, 29, 34, , 
T, 45063,3131944444, -727445926, 11279885441, 1.50, 35000, , 11330, 268, 29, 34, , 
T, 45063,3131944444, -727446580, 11279875659, 1.50, 36000, , 10720, 266, 29, 34, , 
T, 45063,3131944444, -727447527, 11279866691, 1.50, 35000, , 9630, 264, 29, 34, , 
T, 45063,3131944444, -727448516, 11279857806, 1.50, 35000, , 9540, 263, 29, 34, , 
T, 45063,3138888889, -727450243, 11279849122, 1.50, 35000, , 9140, 255, 29, 34, , 
T, 45063,3138888889, -727452636, 11279841512, 1.50, 35000, , 8720, 249, 27, 32, , 
T, 45063,3138888889, -727455632, 11279834202, 1.50, 35000, , 8590, 246, 28, 34, , 
T, 45063,3138888889, -727458985, 11279827220, 1.50, 35000, , 8430, 241, 29, 34, , 
T, 45063,3138888889, -727463013, 11279821110, 2.00, 35000, , 7790, 236, 27, 33, , 
T, 45063,3138888889, -727466960, 11279815578, 1.50, 35000, , 7390, 233, 28, 35, , 
T, 45063,3138888889, -727470971, 11279810356, 2.00, 35000, , 6930, 231, 29, 35, , 
T, 45063,3138888889, -727474835, 11279805838, 1.50, 35000, , 6920, 233, 29, 35, , 
T, 45063,3138888889, -727478812, 11279800792, 1.50, 35000, , 7570, 235, 29, 35, , 
T, 45063,3138888889, -727482446, 11279794908, 1.50, 35000, , 8230, 244, 29, 35, , 
T, 45063,3138888889, -727484529, 11279787557, 2.00, 35000, , 8510, 260, 28, 34, , 
T, 45063,3138888889, -727484822, 11279780173, 1.50, 35000, , 8700, 271, 29, 34, , 
T, 45063,3138888889, -727484449, 11279772562, 1.50, 36000, , 8570, 271, 29, 34, , 
T, 45063,3138888889, -727484504, 11279764440, 1.50, 35000, , 8770, 271, 27, 34, , 
T, 45063,3138888889, -727484730, 11279756217, 1.50, 35000, , 9270, 269, 28, 34, , 
T, 45063,3138888889, -727485560, 11279747291, 1.50, 35000, , 9560, 263, 29, 35, , 
T, 45063,3138888889, -727486453, 11279738087, 1.50, 35000, , 10310, 261, 28, 34, , 
T, 45063,3138888889, -727487756, 11279728842, 1.50, 35000, , 10660, 260, 28, 35, , 
T, 45063,3138888889, -727489470, 11279719320, 1.50, 34000, , 10770, 259, 29, 35, , 
T, 45063,3138888889, -727491545, 11279709974, 1.50, 34000, , 10530, 258, 29, 35, , 
T, 45063,3138888889, -727494193, 11279700628, 1.50, 34000, , 10260, 256, 29, 35, , 
T, 45063,3138888889, -727496712, 11279692104, 2.00, 34000, , 9280, 256, 29, 35, , 
T, 45063,3138888889, -727498979, 11279684854, 2.00, 34000, , 7720, 256, 29, 33, , 
T, 45063,3138888889, -727500660, 11279678827, 2.00, 35000, , 7090, 255, 29, 34, , 
T, 45063,3138888889, -727502039, 11279673513, 2.00, 34000, , 5690, 255, 29, 33, , 
T, 45063,3138888889, -727503082, 11279668760, 2.00, 35000, , 4170, 258, 29, 34, , 
T, 45063,3138888889, -727503552, 11279665324, 2.00, 35000, , 4230, 261, 29, 34, , 
T, 45063,3138888889, -727503912, 11279660697, 2.00, 35000, , 5860, 258, 29, 34, , 
T, 45063,3138888889, -727505253, 11279655056, 2.00, 34000, , 6240, 258, 29, 34, , 
T, 45063,3138888889, -727506930, 11279648644, 2.00, 33000, , 6590, 257, 29, 34, , 
T, 45063,3138888889, -727509012, 11279641042, 2.00, 33000, , 8640, 257, 29, 34, , 
T, 45063,3138888889, -727511007, 11279632919, 2.00, 33000, , 8860, 258, 28, 33, , 
T, 45063,3138888889, -727512650, 11279624303, 2.00, 32000, , 10140, 260, 29, 34, , 
T, 45063,3138888889, -727514402, 11279614597, 2.00, 32000, , 10350, 260, 29, 34, , 
T, 45063,3138888889, -727516078, 11279604681, 1.50, 33000, , 10820, 261, 29, 34, , 
T, 45063,3138888889, -727517734, 11279594924, 2.00, 33000, , 10690, 260, 29, 35, , 
T, 45063,3138888889, -727519574, 11279585620, 1.50, 33000, , 10280, 259, 29, 35, , 
T, 45063,3138888889, -727521128, 11279576660, 2.00, 33000, , 9290, 257, 28, 34, , 
T, 45063,3138888889, -727522872, 11279569603, 1.50, 32000, , 7730, 257, 28, 35, , 
T, 45063,3138888889, -727524050, 11279563786, 2.00, 32000, , 6610, 257, 28, 35, , 
T, 45063,3138888889, -727525223, 11279558471, 1.50, 32000, , 5530, 255, 28, 35, , 
T, 45063,3138888889, -727526690, 11279553769, 1.50, 32000, , 5510, 255, 28, 35, , 
T, 45063,3138888889, -727528417, 11279548287, 1.50, 33000, , 6560, 253, 28, 33, , 
T, 45063,3138888889, -727530294, 11279541532, 1.50, 33000, , 7860, 256, 29, 34, , 
T, 45063,3138888889, -727531903, 11279533711, 1.50, 33000, , 9340, 257, 29, 34, , 
T, 45063,3138888889, -727533865, 11279524961, 1.50, 33000, , 9910, 260, 29, 34, , 
T, 45063,3138888889, -727535151, 11279515816, 2.00, 34000, , 10050, 260, 29, 34, , 
T, 45063,3138888889, -727537008, 11279506076, 1.50, 33000, , 10640, 258, 28, 33, , 
T, 45063,3138888889, -727539158, 11279496060, 1.50, 33000, , 11070, 257, 29, 33, , 
T, 45063,3138888889, -727541191, 11279486236, 1.50, 34000, , 11070, 257, 28, 33, , 
T, 45063,3138888889, -727543458, 11279476346, 1.50, 34000, , 10920, 257, 29, 34, , 
T, 45063,3138888889, 0, 0, 1.50, 0, , 10780, 258, 29, 34, , 
T, 45063,3138888889, 0, 0, 1.50, 0, , 10680, 258, 27, 33, , 
T, 45063,3138888889, 0, 0, 1.50, 0, , 10320, 259, 28, 34, , 
T, 45063,3138888889, 0, 0, 1.50, 0, , 9940, 258, 29, 34, , 
T, 45063,3138888889, -727552443, 11279431519, 2.00, 33000, , 8220, 254, 28, 34, , 
T, 45063,3138888889, -727554271, 11279424990, 2.00, 32000, , 7350, 256, 28, 34, , 
T, 45063,3138888889, -727556047, 11279418871, 2.00, 33000, , 7090, 256, 27, 32, , 
T, 45063,3138888889, -727557104, 11279413800, 2.00, 33000, , 5310, 258, 27, 34, , 
T, 45063,3138888889, -727558277, 11279409047, 2.00, 33000, , 5300, 260, 28, 34, , 
T, 45063,3145833333, -727559275, 11279403876, 2.00, 34000, , 5850, 260, 29, 34, , 
T, 45063,3145833333, -727560750, 11279397673, 1.50, 34000, , 8030, 257, 28, 34, , 
T, 45063,3145833333, -727563017, 11279390121, 1.50, 34000, , 8840, 256, 28, 33, , 
T, 45063,3145833333, -727565150, 11279382259, 2.00, 34000, , 9430, 257, 28, 34, , 
T, 45063,3145833333, -727567133, 11279373969, 2.00, 35000, , 9840, 257, 29, 32, , 
T, 45063,3145833333, -727569228, 11279365143, 2.00, 35000, , 10180, 258, 29, 33, , 
T, 45063,3145833333, -727571529, 11279355495, 2.00, 35000, , 10760, 259, 27, 33, , 
T, 45063,3145833333, -727573683, 11279345772, 2.00, 35000, , 10960, 259, 29, 34, , 
T, 45063,3145833333, -727575707, 11279336158, 2.00, 35000, , 11050, 259, 29, 34, , 
T, 45063,3145833333, -727578000, 11279325916, 2.00, 35000, , 11100, 259, 27, 34, , 
T, 45063,3145833333, -727580292, 11279316897, 2.00, 35000, , 9860, 255, 28, 33, , 
T, 45063,3145833333, -727582543, 11279308280, 1.50, 35000, , 9770, 255, 29, 34, , 
T, 45063,3145833333, -727584546, 11279299135, 2.00, 34000, , 10010, 256, 28, 34, , 
T, 45063,3145833333, -727586361, 11279290326, 2.00, 34000, , 10140, 256, 29, 34, , 
T, 45063,3145833333, -727588473, 11279281458, 2.00, 34000, , 9740, 258, 28, 34, , 
T, 45063,3145833333, -727590183, 11279272833, 1.50, 34000, , 9300, 258, 28, 34, , 
T, 45063,3145833333, -727591977, 11279265289, 2.00, 35000, , 8150, 257, 27, 33, , 
T, 45063,3145833333, -727593339, 11279259103, 2.00, 34000, , 6690, 258, 29, 34, , 
T, 45063,3145833333, -727594437, 11279254024, 2.00, 34000, , 5350, 257, 29, 34, , 
T, 45063,3145833333, -727595405, 11279249548, 2.00, 34000, , 5000, 257, 29, 34, , 
T, 45063,3145833333, -727596574, 11279245592, 2.00, 34000, , 4290, 260, 29, 34, , 
T, 45063,3145833333, -727597613, 11279241158, 2.00, 34000, , 4840, 262, 26, 32, , 
T, 45063,3145833333, -727598904, 11279236120, 2.00, 34000, , 5090, 258, 29, 34, , 
T, 45063,3145833333, -727601343, 11279229046, 2.00, 33000, , 8880, 254, 27, 34, , 
T, 45063,3145833333, -727603376, 11279220329, 2.00, 34000, , 9860, 260, 27, 34, , 
T, 45063,3145833333, -727605082, 11279210907, 2.00, 34000, , 9980, 261, 29, 33, , 
T, 45063,3145833333, -727606708, 11279201721, 2.00, 34000, , 10330, 258, 29, 34, , 
T, 45063,3145833333, -727608866, 11279192316, 2.00, 33000, , 10640, 258, 29, 33, , 
T, 45063,3145833333, -727611033, 11279182317, 2.00, 34000, , 11320, 257, 29, 33, , 
T, 45063,3145833333, -727613489, 11279172258, 1.50, 34000, , 11610, 257, 29, 34, , 
T, 45063,3145833333, -727616380, 11279161823, 1.50, 34000, , 11820, 258, 29, 35, , 
T, 45063,3145833333, -727618966, 11279151362, 1.50, 34000, , 11830, 258, 29, 35, , 
T, 45063,3145833333, -727621250, 11279140960, 2.00, 34000, , 11810, 257, 29, 35, , 
T, 45063,3145833333, -727623040, 11279130508, 1.50, 34000, , 12090, 258, 29, 35, , 
T, 45063,3145833333, -727625320, 11279120031, 1.50, 34000, , 12120, 258, 29, 34, , 
T, 45063,3145833333, -727627453, 11279109553, 1.50, 34000, , 12210, 257, 29, 34, , 
T, 45063,3145833333, -727629926, 11279098607, 1.50, 34000, , 12350, 257, 29, 34, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 12570, 256, 29, 34, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 12440, 254, 29, 34, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 11950, 248, 29, 34, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 11620, 244, 29, 34, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 11460, 239, 28, 33, , 
T, 45063,3145833333, 0, 0, 1.50, 0, , 11520, 236, 28, 34, , 
T, 45063,3145833333, 0, 0, 2.00, 0, , 11040, 225, 29, 33, , 
T, 45063,3145833333, -727668621, 11279022348, 2.00, 34000, , 10550, 216, 29, 34, , 
T, 45063,3145833333, -727676814, 11279016917, 2.00, 34000, , 10630, 214, 28, 33, , 
T, 45063,3145833333, -727685284, 11279013983, 2.00, 34000, , 9320, 196, 27, 33, , 
T, 45063,3145833333, -727693745, 11279012835, 2.00, 34000, , 7940, 186, 28, 34, , 
T, 45063,3145833333, -727700765, 11279012533, 2.00, 33000, , 7120, 186, 29, 33, , 
T, 45063,3145833333, -727706926, 11279012952, 2.00, 33000, , 5590, 180, 29, 32, , 
T, 45063,3145833333, -727711498, 11279013773, 2.00, 33000, , 5080, 174, 29, 33, , 
T, 45063,3145833333, -727715228, 11279014276, 2.00, 33000, , 3480, 177, 29, 32, , 
T, 45063,3145833333, -727718082, 11279014721, 2.00, 33000, , 3100, 177, 29, 33, , 
T, 45063,3145833333, -727720894, 11279015006, 2.00, 33000, , 2950, 178, 29, 33, , 
T, 45063,3145833333, -727723501, 11279014964, 2.00, 33000, , 2980, 178, 29, 33, , 
T, 45063,3145833333, -727726414, 11279014972, 2.00, 33000, , 3220, 179, 29, 33, , 
T, 45063,3145833333, -727730366, 11279014679, 2.00, 33000, , 4950, 183, 29, 33, , 
T, 45063,3145833333, -727736409, 11279014075, 2.00, 33000, , 7320, 182, 29, 33, , 
T, 45063,3145833333, -727743802, 11279013916, 2.00, 33000, , 7970, 178, 29, 33, , 
T, 45063,3145833333, -727751832, 11279014033, 2.00, 33000, , 8500, 178, 29, 33, , 
T, 45063,3152777778, -727760004, 11279014695, 2.00, 33000, , 9150, 176, 29, 33, , 
T, 45063,3152777778, -727769199, 11279015542, 2.00, 32000, , 10260, 175, 29, 33, , 
T, 45063,3152777778, -727778843, 11279016623, 2.00, 32000, , 10200, 174, 29, 33, , 
T, 45063,3152777778, -727788608, 11279018090, 2.00, 32000, , 10340, 173, 29, 33, , 
T, 45063,3152777778, -727798469, 11279019414, 1.50, 32000, , 10910, 173, 29, 33, , 
T, 45063,3152777778, -727808544, 11279020982, 1.50, 32000, , 10980, 174, 29, 33, , 
T, 45063,3152777778, -727818217, 11279022315, 1.50, 31000, , 10870, 173, 28, 32, , 
T, 45063,3152777778, -727828212, 11279023647, 1.50, 31000, , 10860, 173, 29, 33, , 
T, 45063,3152777778, -727838275, 11279024770, 1.50, 31000, , 10790, 175, 29, 33, , 
T, 45063,3152777778, -727848140, 11279026170, 1.50, 31000, , 10130, 175, 29, 33, , 
T, 45063,3152777778, -727857117, 11279027092, 1.50, 31000, , 9380, 175, 29, 33, , 
T, 45063,3152777778, -727865130, 11279027671, 1.50, 31000, , 8460, 175, 29, 33, , 
