type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-06-01 14:01:41,-7.27656873,112.79388939,1.50,37.000,,0.230,301,27,31,20230601-210141,GPS Logger: 20230601-210141 - circle
T,2023-06-01 14:01:47,-7.27653797,112.79389308,1.50,38.000,,0.960,308,27,30,,
T,2023-06-01 14:01:48,-7.27653022,112.79389509,1.50,38.000,,0.960,308,27,30,,
T,2023-06-01 14:01:49,-7.27652221,112.79390045,1.50,38.000,,1.020,0,27,30,,
T,2023-06-01 14:01:50,-7.27651199,112.79390699,1.50,39.000,,0.990,5,27,30,,
T,2023-06-01 14:01:51,-7.27650059,112.79391009,1.50,39.000,,1.100,3,28,30,,
T,2023-06-01 14:01:52,-7.27648735,112.79390833,1.50,39.000,,1.140,4,25,30,,
T,2023-06-01 14:01:53,-7.27647628,112.79391051,1.50,39.000,,1.030,12,28,30,,
T,2023-06-01 14:01:54,-7.27646794,112.79391630,1.50,39.000,,1.150,39,25,30,,
T,2023-06-01 14:01:55,-7.27646438,112.79392786,1.50,39.000,,1.040,64,28,30,,
T,2023-06-01 14:01:56,-7.27646115,112.79393683,1.50,40.000,,1.080,79,28,30,,
T,2023-06-01 14:01:57,-7.27646262,112.79394915,1.50,39.000,,1.040,90,28,30,,
T,2023-06-01 14:01:58,-7.27646216,112.79396064,1.50,40.000,,1.100,93,28,30,,
T,2023-06-01 14:01:59,-7.27646086,112.79397371,1.50,40.000,,0.950,97,26,30,,
T,2023-06-01 14:02:00,-7.27646161,112.79398696,1.50,40.000,,0.990,94,25,30,,
T,2023-06-01 14:02:01,-7.27645914,112.79400003,1.50,39.000,,1.110,99,25,30,,
T,2023-06-01 14:02:02,-7.27646170,112.79401110,1.50,39.000,,1.090,107,26,30,,
T,2023-06-01 14:02:03,-7.27646685,112.79401721,1.50,39.000,,1.110,119,25,30,,
T,2023-06-01 14:02:04,-7.27647507,112.79402032,1.50,39.000,,1.020,133,24,29,,
T,2023-06-01 14:02:05,-7.27648496,112.79402291,1.50,39.000,,1.070,150,24,29,,
T,2023-06-01 14:02:06,-7.27649531,112.79402543,1.50,39.000,,1.000,162,26,29,,
T,2023-06-01 14:02:07,-7.27650541,112.79402853,1.50,39.000,,1.000,167,26,29,,
T,2023-06-01 14:02:08,-7.27651450,112.79402895,1.50,39.000,,1.000,174,24,29,,
T,2023-06-01 14:02:09,-7.27652674,112.79402778,1.50,38.000,,1.070,178,23,29,,
T,2023-06-01 14:02:10,-7.27653663,112.79402702,1.50,38.000,,1.000,180,23,30,,
T,2023-06-01 14:02:11,-7.27654656,112.79402836,1.50,39.000,,1.090,184,23,29,,
T,2023-06-01 14:02:12,-7.27655620,112.79402635,1.50,39.000,,1.000,184,24,30,,
T,2023-06-01 14:02:13,-7.27656681,112.79402375,1.50,39.000,,1.030,188,24,30,,
T,2023-06-01 14:02:14,-7.27657821,112.79402073,1.50,39.000,,1.130,184,24,30,,
T,2023-06-01 14:02:15,-7.27659007,112.79401956,1.50,39.000,,1.230,180,25,30,,
T,2023-06-01 14:02:16,-7.27660251,112.79401965,1.50,39.000,,1.200,178,25,30,,
T,2023-06-01 14:02:17,-7.27661366,112.79401864,1.50,39.000,,1.140,174,26,30,,
T,2023-06-01 14:02:18,-7.27662351,112.79401906,2.00,39.000,,1.130,175,24,29,,
T,2023-06-01 14:02:19,-7.27663457,112.79402032,2.00,38.000,,1.050,175,25,29,,
T,2023-06-01 14:02:20,-7.27664778,112.79402283,1.50,38.000,,1.160,181,25,29,,
T,2023-06-01 14:02:21,-7.27666127,112.79402182,1.50,38.000,,1.140,182,27,29,,
T,2023-06-01 14:02:22,-7.27667254,112.79402023,1.50,38.000,,1.000,178,25,29,,
T,2023-06-01 14:02:23,-7.27668461,112.79402233,1.50,38.000,,1.010,174,26,29,,
T,2023-06-01 14:02:24,-7.27669375,112.79402275,1.50,38.000,,1.040,181,26,29,,
T,2023-06-01 14:02:25,-7.27670452,112.79401889,1.50,37.000,,1.020,199,26,31,,
T,2023-06-01 14:02:26,-7.27671093,112.79401235,1.50,37.000,,0.920,221,26,31,,
T,2023-06-01 14:02:27,-7.27671144,112.79400288,1.50,38.000,,0.970,245,26,31,,
T,2023-06-01 14:02:28,-7.27671060,112.79399509,1.50,37.000,,0.930,264,27,31,,
T,2023-06-01 14:02:29,-7.27671022,112.79398385,1.50,37.000,,0.930,271,27,31,,
T,2023-06-01 14:02:30,-7.27671093,112.79397313,1.50,37.000,,1.000,271,27,31,,
T,2023-06-01 14:02:31,-7.27671114,112.79396005,1.50,37.000,,1.060,271,26,31,,
T,2023-06-01 14:02:32,-7.27671198,112.79394865,1.50,37.000,,0.990,273,24,30,,
T,2023-06-01 14:02:33,-7.27670976,112.79393641,1.50,37.000,,1.060,277,25,30,,
T,2023-06-01 14:02:34,-7.27671081,112.79392895,1.50,37.000,,1.070,273,26,29,,
T,2023-06-01 14:02:35,-7.27670813,112.79392007,1.50,37.000,,1.090,268,25,30,,
T,2023-06-01 14:02:36,-7.27670578,112.79390842,1.50,37.000,,1.110,267,27,30,,
T,2023-06-01 14:02:37,-7.27670222,112.79389501,1.50,38.000,,1.110,269,28,30,,
T,2023-06-01 14:02:38,-7.27670217,112.79387967,1.50,38.000,,1.090,271,28,30,,
T,2023-06-01 14:02:39,-7.27670310,112.79386869,1.50,38.000,,1.150,270,25,30,,
T,2023-06-01 14:02:40,-7.27670284,112.79385502,1.50,38.000,,1.080,271,26,30,,
T,2023-06-01 14:02:41,-7.27670155,112.79384497,1.50,38.000,,1.050,276,25,30,,
T,2023-06-01 14:02:42,-7.27669798,112.79383357,1.50,38.000,,1.080,278,26,30,,
T,2023-06-01 14:02:43,-7.27669706,112.79382225,1.50,38.000,,1.060,272,26,30,,
T,2023-06-01 14:02:44,-7.27669505,112.79380918,1.50,38.000,,1.120,274,28,30,,
T,2023-06-01 14:02:45,-7.27669329,112.79379694,1.50,39.000,,1.100,277,28,30,,
T,2023-06-01 14:02:46,-7.27668989,112.79378537,2.00,39.000,,1.060,283,28,30,,
T,2023-06-01 14:02:47,-7.27668964,112.79377397,1.50,39.000,,1.110,299,28,30,,
T,2023-06-01 14:02:48,-7.27668155,112.79376668,1.50,39.000,,1.130,317,28,30,,
T,2023-06-01 14:02:49,-7.27667426,112.79376207,2.00,39.000,,1.130,330,27,30,,
T,2023-06-01 14:02:50,-7.27666856,112.79376039,1.50,38.000,,1.030,331,28,30,,
T,2023-06-01 14:02:51,-7.27666001,112.79375293,1.50,38.000,,1.080,334,27,30,,
T,2023-06-01 14:02:52,-7.27665054,112.79374958,1.50,38.000,,1.060,347,26,30,,
T,2023-06-01 14:02:53,-7.27663948,112.79374598,1.50,38.000,,1.020,357,24,30,,
T,2023-06-01 14:02:54,-7.27663059,112.79374472,1.50,38.000,,0.930,1,25,30,,
T,2023-06-01 14:02:55,-7.27662095,112.79374178,1.50,38.000,,0.980,358,26,30,,
T,2023-06-01 14:02:56,-7.27661039,112.79373877,1.50,38.000,,1.020,358,27,30,,
T,2023-06-01 14:02:57,-7.27659849,112.79373525,1.50,38.000,,1.010,1,25,30,,
T,2023-06-01 14:02:58,-7.27658772,112.79373868,1.50,37.000,,1.020,6,22,30,,
