init_lat,init_lon,init_alt,curr_lat,curr_lon,curr_alt,azi_thet,elev_thet

-7.27656873,112.79388939,37.0,-7.27653797,112.79389308,38.0,6.79,16.17
-7.27656873,112.79388939,37.0,-7.27653022,112.79389509,38.0,8.35,13.0
-7.27656873,112.79388939,37.0,-7.27652221,112.79390045,38.0,13.27,10.64
-7.27656873,112.79388939,37.0,-7.27651199,112.79390699,39.0,17.1,16.84
-7.27656873,112.79388939,37.0,-7.27650059,112.79391009,39.0,16.77,14.17
-7.27656873,112.79388939,37.0,-7.27648735,112.79390833,39.0,13.0,12.14
-7.27656873,112.79388939,37.0,-7.27647628,112.79391051,39.0,12.77,10.73
-7.27656873,112.79388939,37.0,-7.27646794,112.7939163,39.0,14.83,9.78
-7.27656873,112.79388939,37.0,-7.27646438,112.79392786,39.0,20.09,9.19
-7.27656873,112.79388939,37.0,-7.27646115,112.79393683,40.0,23.63,12.93
-7.27656873,112.79388939,37.0,-7.27646262,112.79394915,39.0,29.19,8.41
-7.27656873,112.79388939,37.0,-7.27646216,112.79396064,40.0,33.55,11.9
-7.27656873,112.79388939,37.0,-7.27646086,112.79397371,40.0,37.79,11.17
-7.27656873,112.79388939,37.0,-7.27646161,112.79398696,40.0,42.1,10.57
-7.27656873,112.79388939,37.0,-7.27645914,112.79400003,39.0,45.04,6.61
-7.27656873,112.79388939,37.0,-7.2764617,112.7940111,39.0,48.44,6.35
-7.27656873,112.79388939,37.0,-7.27646685,112.79401721,39.0,51.22,6.3
-7.27656873,112.79388939,37.0,-7.27647507,112.79402032,39.0,54.2,6.4
-7.27656873,112.79388939,37.0,-7.27648496,112.79402291,39.0,57.69,6.54
-7.27656873,112.79388939,37.0,-7.27649531,112.79402543,39.0,61.45,6.67
-7.27656873,112.79388939,37.0,-7.27650541,112.79402853,39.0,65.36,6.75
-7.27656873,112.79388939,37.0,-7.2765145,112.79402895,39.0,68.61,6.89
-7.27656873,112.79388939,37.0,-7.27652674,112.79402778,38.0,72.99,3.58
-7.27656873,112.79388939,37.0,-7.27653663,112.79402702,38.0,76.77,3.66
-7.27656873,112.79388939,37.0,-7.27654656,112.79402836,39.0,80.86,7.33
-7.27656873,112.79388939,37.0,-7.2765562,112.79402635,39.0,84.73,7.5
